Spell Name	Level	Class(es)	School	Casting Time	Range	Target/Area	Component(s)	Concentration	Duration	Attack/Saving Throw (Effect)	DAM Type	Damage/Heal	Additional Detail
Bestow Curse	3	Bard, Cleric, Paladin(Oathbreaker), Wizard	Necromancy	1 action	Touch	1 creature		1	1 minute	WIS (Fail)			Curse target. See Sourcebook.
Mordenkainen's Sword	7	Bard, Wizard	Evocation	1 action	60 ft.		mini platinum sword	1	1 minute	Melee Spell Attack	Force	DAM: 3d10	Use bonus action each turn to move sword <= 20 ft. and attack again.
Animal Messenger	2	Bard, Druid, Ranger	Enchantment	1 action	30 ft.	1 Tiny beast	morsel of food		24 hours				Beast will relay 25 word message to a target you describe
Ice Storm	4	Cleric(Tempest), Druid, Paladin(Ancients), Sorcerer, Wizard	Evocation	1 action	300 ft.	20 ft. rad, 40ft. high cylinder	pinch of dust, drop of water		Instantaneous	DEX (Half DAM)	Bludgeoning+Cold	DAM: 2d8+4d6	Storm's area of effect becomes difficult terrain until end of next turn.
Legend Lore	5	Bard, Cleric, Wizard	Divination	10 minutes	Self	1 person, place, or object	INCENSE(250),4 ivory strips(50)		Instantaneous				Learn lore about target. Information is accurate but might use figurative words.
Charm Person	1	Bard, Cleric(Trickery), Druid, Sorcerer, Warlock, Wizard	Enchantment	1 action	30 ft.	1 humanoid			1 hour	Wisdom (Fail)			Charm target so it treats you as friendly. Gets advantage to save if fighting you.
Goodberry	1	Druid, Ranger	Transmutation	1 action	Touch		sprig of mistletoe		Instantaneous				Create <= 10 berries that HEAL 1 HP each. Expire after 24 hours.
Contagion	5	Cleric, Druid, Paladin(Oathbreaker)	Necromancy	1 action	Touch	1 creature			7 days	CON (See Sourcebook)			Give creature a disease. See Sourcebook.
Fire Storm	7	Cleric, Druid	Evocation	1 action	150 ft.	<= ten 10 ft. cubes			Instantaneous	DEX (Half DAM)	Fire	DAM: 7d10	Each cube must face at least one other cube. Can choose not to affect plants.
Searing Smite	1	Paladin	Evocation	1 bonus action	Self	1 creature		1	1 minute	Melee Weapon Attack	Fire	DAM: 1d6	Target takes initial DAM and CON save at start of each turn or take 1d6 fire.
Blade Ward	0	Bard, Sorcerer, Warlock, Wizard	Abjuration	1 action	Self	Self			1 round				Gain resistance to bludgeoning/piercing/slashing DMG from weapons.
Illusory Script	1	Bard, Warlock, Wizard	Illusion	1 minute	Touch	writing surface	LEAD-BASED INK		10 days				Write magical script on surface that only designated people can read.
Compulsion	4	Bard	Enchantment	1 action	30 ft.	Creatures in range		1	1 minute	WIS (Fail)			Compel targets to move in specified non-hazardous direction.
Circle of Death	6	Sorcerer, Warlock, Wizard	Necromancy	1 action	150 ft.	60 ft. radius sphere	crushed black pearl		Instantaneous	CON (Half DAM)	Necrotic	DAM: 8d6	
Animate Objects	5	Bard, Sorcerer, Wizard	Transmutation	1 action	120 ft.	<= 10 objects		1	1 minute				Animate objects to accept simple commands.
Contact Other Plane	5	Warlock, Wizard	Divination	1 minute	Self				1 minute	INT DC:15(DAM, insane for day)	Psychic	DAM: 6d6	Contact extraplanar being. YOU make save. 1-word answers to 5 questions.
Banishing Smite	5	Paladin	Abjuration	1 bonus action	Self	Self		1	1 minute	Weapon Attack	Force	DAM: 5d10	Target banished if <= 50 HP.
Magic Jar	6	Wizard	Necromancy	1 minute	Self		ornamental container		Until Dispelled				Your soul enters an external object. See sourcebook.
Sacred Flame	0	Cleric	Evocation	1 action	60 ft.	1 creature			Instantaneous	DEX (Fail)	Fire	DAM: 1d8	No cover. DAM increase. 5th level: 2d8, 11th level: 3d8, 17th level: 4d8.
Produce Flame	0	Cleric(Nature), Druid	Conjuration	1 action	Self				10 minutes	Ranged Spell Attack	Fire	DAM: 1d8	Create flame. DAM increase. 5th level: 2d8, 11th level: 3d8, 17th level: 4d8.
Blight	4	Cleric(Death), Druid, Paladin(Oathbreaker), Sorcerer, Warlock, Wizard	Necromancy	1 action	30 ft.	1 creature			Instantaneous	CON (Half DAM)	Necrotic	DAM: 8d8	Plants have disadvantage on save and take max DAM.
Resurrection	7	Bard, Cleric	Necromancy	1 hour	Touch	1 dead creature	DIAMOND		Instantaneous				Resurrect dead creaature. See Sourcebook.
Dimension Door	4	Bard, Cleric(Trickery), Paladin(Vengeance), Sorcerer, Warlock, Wizard	Conjuration	1 action	500 ft.	Self (and ally within 5 ft.)			Instantaneous				Teleport yourself and ally to location. If occupied, 4d6 force DAM and spell fails.
Power Word Stun	8	Bard, Sorcerer, Warlock, Wizard	Enchantment	1 action	60 ft.	1 creature			Instantaneous	See Details.			Target <= 150 HP is stunned. Nothing otherwise. CON save at end of turn to end.
Shocking Grasp	0	Sorcerer, Wizard	Evocation	1 action	Touch	1 creature			Instantaneous	Melee Spell Attack	Lightning	DAM: 1d8	Target can't take reactions until next turn. Advantage if target has metal armor.
Bless	1	Cleric, Paladin	Enchantment	1 action	30 ft.	<= 3 creatures	sprinkling of holy water	1	1 minute				Targets add 1d4 to attack rolls and saving throws.
Shatter	2	Bard, Cleric(Tempest), Sorcerer, Warlock, Wizard	Evocation	1 action	60 ft.	10 ft. sphere	chip of mica		Instantaneous	CON (Half DAM)	Thunder	DAM: 3d8	Inorganic creatures have disadvantage to save. Objects take DAM too.
Banishment	4	Cleric, Paladin, Sorcerer, Warlock, Wizard	Abjuration	1 action	60 ft.	1 target	item disliked by target	1	1 minute	CHA (Fail)			Banish target to another plane; native of other plane doesn't return after 1 min.
Dominate Beast	4	Cleric(Nature), Druid, Sorcerer	Enchantment	1 action	60 ft.	1 beast		1	1 minute	WIS (Fail)			Charm beast to give it commands. Has advantage to save if attacking it.
Darkness	2	Druid(Swamp), Paladin(Oathbreaker), Sorcerer, Warlock, Wizard	Evocation	1 action	60 ft.	15 ft. radius sphere	bat fur and pitch or coal	1	10 minutes				Creates darkness normal light can't dispel. Dispels light spells <= 2nd level.
Teleport	7	Bard, Sorcerer, Wizard	Conjuration	1 action	10 ft.	Self and <= 8 creatures			Instantaneous				Teleport yourself and willing creatures to a distant location. See Sourcebook.
Forcecage	7	Bard, Warlock, Wizard	Evocation	1 action	100 ft.	20 ft. square or 10 ft. cube	ruby dust		1 hour	See Details.			Creatures stuck in cage can only leave using magic after CHA save.
Invisibility	2	Bard, Druid(Grassland), Sorcerer, Warlock, Wizard	Illusion	1 action	Touch	1 creature	eyelash in gum arabic	1	1 hour				Target becomes invisible. Ends if target attacks or casts a spell.
Minor Illusion	0	Bard, Sorcerer, Warlock, Wizard	Illusion	1 action	30 ft.	5 ft. cube	bit of fleece		1 minute				Create illusory sound or image. Investigation check against spell DC to detect.
Misty Step	2	Druid(Coast), Paladin(Ancients,Vengeance), Sorcerer, Warlock, Wizard	Conjuration	1 bonus action	Self	Self			Instantaneous				Teleport <= 30 ft. away to unoccupied location.
Purify Food and Drink	1	Cleric, Druid, Paladin	Transmutation	1 action	10 ft.	5 ft. radius			Instantaneous				All nonmagical food and drink in range is rendered free of poison and disease.
Melf's Acid Arrow	2	Druid(Swamp), Wizard	Evocation	1 action	90 ft.	1 target	rhubarb leaf, adder's stomach		Instantaneous	Ranged Spell Attack	Acid	DAM: 4d4	Half DAM on miss. On hit, target also takes 2d4 acid DAM at end of next turn.
Scrying	5	Bard, Cleric, Druid, Paladin(Vengeance), Warlock, Wizard	Divination	10 minutes	Self	1 creature	scrying focus	1	10 minutes	WIS (Fail)			Spy on a target located on the same plane as you. See Sourcebook.
Dissonant Whispers	1	Bard	Enchantment	1 action	60 ft.	1 creature			Instantaneous	WIS (Fail)	Psychic	DAM: 3d6	Target immediately uses reaction to move as far away as possible.
Dream	5	Bard, Druid(Grassland), Warlock, Wizard	Illusion	1 minute	See Sourcebook.	1 creature	sand,ink,quill from asleep bird		8 hours	See Sourcebook.	See Sourcebook.	See Sourcebook.	Shape creature's dreams. See Sourcebook.
Armor of Agathys	1	Warlock	Abjuration	1 action	Self	Self	cup of water		1 hour		Cold	DAM: 5	Gain 5 THP. Melee attackers take 5 DAM.
Pass without Trace	2	Cleric(Trickery), Druid, Ranger	Abjuration	1 action	Self	Willing creatures in range	mistletoe or spruce ash	1	1 hour				Targets get +10 to Stealth checks and can only be tracked by magic.
Hypnotic Pattern	3	Bard, Sorcerer, Warlock, Wizard	Illusion	1 action	120 ft.	30 ft. cube	glowing stick of incense	1	1 minute	WIS (Fail)			Creatures charmed, incapacitated, speed = 0. Spell ends on DAM or shaking.
Thunderous Smite	1	Paladin	Evocation	1 bonus action	Self	1 creature		1	1 minute	Melee Weapon Attack	Thunder	DAM: 2d6	Attack target takes extra thunder DAM and STR save or pushed 10 ft. and prone.
Nondetection	3	Bard, Cleric(Knowledge), Ranger, Wizard	Abjuration	1 action	Touch	1 object, place, or willing target	DIAMOND DUST		8 hours				Hide target from all divination and scrying magic.
Gust of Wind	2	Cleric(Tempest), Druid, Sorcerer, Wizard	Evocation	1 action	Self	60 ft. line 10 ft. wide	a legume seed	1	1 minute	STR (Fail)			Push targets 15 ft. in directon of wind. Creatures move half speed against wind.
Geas	5	Bard, Cleric, Druid, Paladin, Wizard	Enchantment	1 minute	60 ft.	1 creature			30 days	WIS (Fail)	See Details.	See Details.	Target must perform task you set. 5d10 psychic DAM whenever it disobeys.
Sunburst	8	Druid, Sorcerer, Wizard	Evocation	1 action	150 ft.	60 ft. radius sphere	fire and piece of sunstone		Instantaneous	CON (Half DAM, no blindness)	Radiant	DAM: 12d6	Creatures are blinded for 1 minute (CON save at end of turn to end).
Unseen Servant	1	Bard, Warlock, Wizard	Conjuration	1 action	60 ft.		piece of string, bit of wood		1 hour				Create invisible force that can perform simple, menial tasks for you.
Conjure Minor Elementals	4	Druid, Wizard	Conjuration	1 minute	90 ft.			1	1 hour				Summon elementals (total CR <= 2) that obey commands.
Find Familiar	1	Wizard	Conjuration	1 hour	10 ft.		CHARCOAL,INCENSE,HERBS		Instantaneous				Gain the service of a familiar. See Sourcebook.
Mordenkainen's Private Sanctum	4	Wizard	Abjuration	10 minutes	120 ft.	<= 100 ft. cube	lead,glass,cloth,chrysolite		24 hours				Create magically secure area. See Sourcebook.
Globe of Invulnerability	6	Sorcerer, Wizard	Abjuration	1 action	Self	10 ft. radius sphere	glass or crystal bead	1	1 minute				Spells <= 5th level cannot affect those within the globe.
Drawmij's Instant Summons	6	Wizard	Conjuration	1 minute	Touch	1 object <= 10 lb.	sapphire		Until Dispelled				Speak item name and crush gem to summon object unless it's held by other.
Etherealness	7	Bard, Cleric, Sorcerer, Warlock, Wizard	Transmutation	1 action	Self	Self			Up to 8 hours				Become ethereal. Move up/down at half speed. Can't see past 60 ft.
Dominate Person	5	Bard, Cleric(Trickery), Paladin(Oathbreaker), Sorcerer, Wizard	Enchantment	1 action	60 ft.	1 person		1	1 minute	WIS (Fail)			Charm humanoid to give it commands. Has advantage to save if attacking it.
Power Word Kill	9	Bard, Sorcerer, Warlock, Wizard	Enchantment	1 action	60 ft.	1 creature			Instantaneous			See Details.	If target has <= 100 HP, it dies instantly. No effect otherwise. No saving throw.
Barkskin	2	Cleric(Nature), Druid, Ranger	Transmutation	1 action	Touch	1 willing creature	oak bark	1	1 hour				Target AC is never less than 16 during spell.
Plant Growth	3	Bard, Cleric(Nature), Druid, Paladin(Ancients), Ranger	Transmutation	1 action or 8 hours	150 ft.	100 ft. or 1 mile radius			Instantaneous				Cast short term (creatures move 1/4 speed) or long term (double food yield).
Freedom of Movement	4	Bard, Cleric, Druid, Paladin(Devotion), Ranger	Abjuration	1 action	Touch	1 willing creature	leather strap around arm		1 hour				Immune to difficult terrain,slow,paralyze,restrain. Spend 5ft to escape restrain.
Sending	3	Bard, Cleric, Wizard	Evocation	1 action	Unlimited	1 creature	short piece of fine copper wire		1 round				Send <= 25 word message to known creature. Get similar reply.
Glibness	8	Bard, Warlock	Transmutation	1 action	Self	Self			1 hour				Can replace CHA check rolls with a 15. Spells always detect you telling truth.
Feign Death	3	Bard, Cleric, Druid, Wizard	Necromancy	1 action	Touch	1 willing creature	pinch of graveyard dirt		1 hour				Creature appears dead. Resists all non-psychic DMG. Disease/poison delayed.
Elemental Weapon	3	Paladin	Transmutation	1 action	Touch	1 nonmagical weapon		1	1 hour				Weapon is +1 to hit and +1d4 acid, cold, fire, lightning, or thunder DAM.
Flame Blade	2	Druid	Evocation	1 bonus action	Self		sumac leaf	1	10 minutes	Melee Spell Attack	Fire	DAM: 3d6	Create fiery scimitar that sheds bright light 10ft. and dim light for another 10ft.
Transport via Plants	6	Druid	Conjuration	1 action	10 ft.	2 >= Large plants, 1 in range			1 round				Enter one plant and emerge from another on same plane you've encountered.
Sunbeam	6	Druid, Sorcerer, Wizard	Evocation	1 action	Self	60 ft. line	magnifying glass	1	1 minute	CON (Half DAM, no blindness)	Radiant	DAM: 6d8	Creatures are blinded until your next turn. Use your action to make a new line.
Earthquake	8	Cleric, Druid, Sorcerer	Evocation	1 action	500 ft.	100 ft. radius	piece of dirt, rock, and clay	1	1 minute	See Sourcebook.			Create a seismic disturbance with various effects. See Sourcebook.
Haste	3	Druid(Grassland), Paladin(Vengeance), Sorcerer, Wizard	Transmutation	1 action	30 ft.	1 willing creature	shaving of licorice root	1	1 minute				Doubles speed. +2 AC. Advantage on DEX saves. Additional action to Dash.
Antilife Shell	5	Cleric(Death), Druid	Abjuration	1 action	10 ft. radius	Self		1	1 hour				Erects barrier around you that moves with you. Living creatures cannot enter.
Otiluke's Resilient Sphere	4	Wizard	Evocation	1 action	30 ft.	1 creature or object	hemispheres of crystal,arabic	1	1 minute	DEX (Fail)			Trap creature in sphere. Sphere only destroyed by Disintegrate spell.
Hellish Rebuke	1	Paladin(Oathbreaker), Warlock	Evocation	1 reaction (take DAM)	60 ft.	1 creature that damaged you			Instantaneous	DEX (Half DAM)	Fire	DAM: 2d10	Magical counterattack to taking damage.
Animal Shapes	8	Druid	Transmutation	1 action	30 ft.	Any willing targets		1	24 hours				Transform targets into Large or smaller beasts with CR <= 4
Inflict Wounds	1	Cleric, Paladin(Oathbreaker)	Necromancy	1 action	Touch	1 creature			Instantaneous	Melee Spell Attack	Necrotic	DAM: 3d10	Inflict necrotic damage on target.
Hold Person	2	Bard, Cleric, Druid, Paladin(Vengeance), Sorcerer, Warlock, Wizard	Enchantment	1 action	60 ft.	1 humanoid	small straight piece of iron	1	1 minute	WIS (Fail)			Target is paralyzed. New saving throw at end of turn.
Fear	3	Bard, Sorcerer, Warlock, Wizard	Illusion	1 action	Self	30 ft. cone	white feather or hen heart	1	1 minute	WIS (Fail)			Targets drop everything and use Dash to run away. WIS save once out of sight.
Grease	1	Wizard	Conjuration	1 action	60 ft.	10 ft. square	pork rind or butter		1 minute	DEX (Fail)			Creatures in area or entering area fall prone if they fail DEX save.
Find the Path	6	Bard, Cleric, Druid	Divination	1 minute	Self		diviner tools,object from target	1	1 day				Find the shortest, most direct route to a place you are familiar with.
Control Weather	8	Cleric, Druid, Wizard	Transmutation	10 minutes	Self	5 mile radius	incense, earth&wood in water	1	8 hours				Control the weather. See Sourcebook.
Sanctuary	1	Cleric, Paladin(Devotion)	Abjuration	1 bonus action	30 ft.	1 creature	small silver mirror		1 minute				Those choosing to attack target must make WIS save or choose new target.
Death Ward	4	Cleric, Paladin	Abjuration	1 action	Touch	1 willing creature			8 hours				1 use: Target drops to 1 HP instead of 0 HP or negates instant kill effect.
Ensnaring Strike	1	Paladin(Ancients), Ranger	Conjuration	1 bonus action	Self	Attack target		1	1 minute	STR (Fail)	Piercing	DAM: 1d6 a turn	Restrain target. Large and bigger creatures have advantage to save.
Lesser Restoration	2	Bard, Cleric, Druid, Paladin, Ranger	Abjuration	1 action	Touch	1 creature			Instantaneous				End one disease or condition (blind, deaf, paralyzed, poisoned) on target.
Scorching Ray	2	Cleric(Light), Sorcerer, Wizard	Evocation	1 action	120 ft.	<= 3 creatures			Instantaneous	Ranged Spell Attack	Fire	DAM: 2d6x3	Shoot 3 rays at up to 3 targets.
Color Spray	1	Sorcerer, Wizard	Illusion	1 action	Self	15 ft. cone	pinch of colored powder		1 round				Blinds 6d10 HP worth of creatures, starting with lowest HP.
Locate Animals or Plants	2	Bard, Druid, Ranger	Divination	1 action	Self	Kind of beast or plant	bloodhound fur		Instantaneous				Name a kind of beast or plant and find the nearest one within 5 miles.
Guidance	0	Cleric, Druid	Divination	1 action	Touch	1 willing creature		1	1 minute				Once, add 1d4 to an ability check.
Calm Emotions	2	Bard, Cleric	Enchantment	1 action	60 ft.	20 ft. radius sphere		1	1 minute	CHA (Fail)			Suppress charm effects or hostility on target.
Passwall	5	Druid(Mountain), Wizard	Transmutation	1 action	30 ft.		pinch of sesame seeds		1 hour				Create 5ft wide, 8ft tall,20ft deep opening in wall, ceiling, or floor.
Project Image	7	Bard, Wizard	Illusion	1 action	500 miles		small replica of self	1	1 day				Create image of self you can see/hear/speak/move (x2 speed) through.
Hunter's Mark	1	Paladin(Vengeance), Ranger	Divination	1 bonus action	90 ft.	1 creature		1	1 hour				Mark quarry. Extra 1d6 DAM on weapon hit. Advantage on rolls to find it.
Demiplane	8	Warlock, Wizard	Conjuration	1 action	60 ft.				1 hour				Create door to 30 ft. cubic room in demiplane. Trapped if there when spell ends.
Sleep	1	Bard, Sorcerer, Wizard	Enchantment	1 action	90 ft.	20 ft. radius	pinch of fine sand		1 minute				5d8 total HP of creatures in area fall asleep. Go in order of lowest HP to hightest.
Evard's Black Tentacles	4	Wizard	Conjuration	1 action	90 ft.	20 ft. square	piece of octopus temtacle	1	1 minute	DEX while in area (Fail)	Bludgeoning	DAM: 3d6	Also restrained. Restrained take DAM every turn. STR/DEX check to get free.
Delayed Blast Fireball	7	Sorcerer, Wizard	Evocation	1 action	150 ft.	20 ft. radius sphere	tiny ball of guano and sulfur	1	1 minute	DEX (Half DAM)	Fire	DAM: 12d6	Creates spot where fireball will erupt. See Sourcebook.
Branding Smite	2	Paladin	Evocation	1 bonus action	Self	Self		1	1 minute	Weapon Attack	Radiant	DAM: 2d6	Target becomes visible, sheds dim light.
Ray of Frost	0	Sorcerer, Wizard	Evocation	1 action	60 ft.	1 creature in range			Instantaneous	Ranged Spell Attack	Cold	DAM: 1d8	Speed -10ft. DAM increase. 5th level: 2d8, 11th level: 3d8, 17th level: 4d8.
Ray of Sickness	1	Cleric(Death), Sorcerer, Wizard	Necromancy	1 action	60 ft.	1 creature in range			Instantaneous	Ranged Spell Attack	Poison	DAM: 2k8	Target also makes CON save. On fail, poisoned until end of next turn.
Magic Missile	1	Sorcerer, Wizard	Evocation	1 action	120 ft.	Any creature in range.			Instantaneous		Force	DAM:(1d4+1)x3	You choose the target for each dart that does 1d4+1 DAM.
Phantom Steed	3	Wizard	Illusion	1 minute	30 ft.				1 hour				You and 1 other can ride phantom steed. Speed=100ft or 10mph (13 fast).
Heroism	1	Bard, Paladin	Enchantment	1 action	Touch	1 willing creature		1	1 minute				Immune to being frightened. Temp HP equal to casting ability modifier each turn.
Leomund's Tiny Hut	3	Bard, Wizard	Evocation	1 minute	Self	10 ft. radius hemisphere	small crystal bead		8 hours				Protect <= 9 creatures in hut from spells, creatures, elements.
Regenerate	7	Bard, Cleric, Druid	Transmutation	1 minute	Touch	1 creature	prayer wheel and holy water		1 hour			HEAL: 4d8+15	Target HEAL 1 HP at start of every turn. Severed parts return after 2 minutes.
Guiding Bolt	1	Cleric	Evocation	1 action	120 ft.	1 creature			1 round	Ranged Spell Attack	Radiant	DAM: 4d6	Next attack roll against target before end of your next turn has advantage.
Contingency	6	Wizard	Evocation	10 minutes	Self	Self	ivory statue of self		10 days				Spell <= 5th level activates when condition occurs. That spell's slot used too.
Vicious Mockery	0	Bard	Enchantment	1 action	60 ft.	1 creature			Instantaneous	WIS (Fail)	Psychic	DAM: 1d4	Disadvantage to attack.DAM increase.5th level:2d4,11th level:3d4,17th level:4d4
Shield of Faith	1	Cleric, Paladin	Abjuration	1 bonus action	60 ft.	1 creature	small parchment with holy text	1	10 minutes				Target gains +2 bonus to AC.
Gate	9	Cleric, Sorcerer, Wizard	Conjuration	1 action	60 ft.	5-20 ft. diameter gate	diamond	1	1 minute				Create portal to precise location on another plane or near a specific person.
Bigby's Hand	5	Wizard	Evocation	1 action	120 ft.		eggshell, snakeskin glove	1	1 minute		Force	See Sourcebook.	Create giant hand to do various things. See Sourcebook.
Planar Ally	6	Cleric	Conjuration	10 minutes	60 ft.				Instantaneous				Ask otherworldly entity for aid. See Sourcebook.
Animate Dead	3	Cleric, Paladin(Oathbreaker), Wizard	Necromancy	1 minute	10 ft.	<= Medium corpse	blood, flesh, bone		Instantaneous				Creates skeleton or zombie servant that accepts simple directions
Speak with Dead	3	Bard, Cleric	Necromancy	1 action	10 ft.	1 dead creature	burning incense		10 minutes				Ask corpse <= 5 questions. Get brief, cryptic answers. Can be lies.
Conjure Barrage	3	Ranger	Conjuration	1 action	Self	60 ft. cone	ammo or thrown weapon		Instantaneous	DEX (Half DAM)	See Details	DAM: 3d8	Damage type is same as ammo/weapon used as component.
Telepathy	8	Wizard	Evocation	1 action	Unlimited	1 willing creature	pair of linked silver rings		24 hours				Telepathically communicate words, sounds, images with target (INT >= 1).
Storm of Vengeance	9	Druid	Conjuration	1 action	Sight	360 ft. radius		1	1 minute	See Sourcebook.	See Sourcebook.	See Sourcebook.	Magical storm attacks targets in range. See Sourcebook.
Bane	1	Bard, Cleric, Paladin(Vengeance)	Enchantment	1 action	30 ft.	<= 3 creatures	drop of blood	1	1 minute	CHA (Fail)			Targets' attack rolls and saving throws are deducted 1d4.
Reverse Gravity	7	Druid, Sorcerer, Wizard	Transmutation	1 action	100 ft.	50 ft. radius	lodestone and iron filings	1	1 minute	DEX (grab fixed object)			Creatures fall upwards, taking falling damage. Fall again once spell ends.
Longstrider	1	Bard, Druid, Ranger, Wizard	Transmutation	1 action	Touch	1 creature	pinch of dirt		1 hour				Target's speed increases by 10 ft.
Entangle	1	Druid	Conjuration	1 action	90 ft.	20 ft. square		1	1 minute	STR (Fail)			Creatures become restrained.Use action to use STR against spell DC to escape.
Commune	5	Cleric, Paladin(Devotion)	Divination	1 minute	Self		incense, vial of holy water		1 minute				Ask 3 yes/no questions that are answered by deity. See Sourcebook.
Mass Heal	9	Cleric	Conjuration	1 action	60 ft.	Any creature in range.			Instantaneous			See Details.	Targets HEAL total of 700 HP and cured of diseases, blindness, and deafness.
Prestidigitation	0	Bard, Sorcerer, Warlock, Wizard	Transmutation	1 action	10 ft.				1 hour				Create minor magical effect. See Sourcebook.
False Life	1	Cleric(Death), Sorcerer, Wizard	Necromancy	1 action	Self	Self	alcohol or distilled spirits		1 hour				You gain 1d4+4 temp HP.
Protection from Poison	2	Cleric, Druid, Paladin, Ranger	Abjuration	1 action	Touch	1 willing creature			1 hour				Target has 1 poison neutralized, advantage on poison save, resists poison DAM.
See Invisibility	2	Bard, Sorcerer, Wizard	Divination	1 action	Self	Self	pinch of talc and silver powder		1 hour				See invisible and ethereal creatures.
Wall of Fire	4	Cleric(Light), Druid, Sorcerer, Wizard	Evocation	1 action	120 ft.	See Sourcebook.	small piece of phosphorous	1	1 minute	DEX (Half DAM)	Fire	DAM: 5d8	Those entering or ending turn on one side of the wall take 5d8 fire DAM.
Mind Blank	8	Bard, Wizard	Abjuration	1 action	Touch	1 willing creature			24 hours				Target immune to psychic damage, charm, mind reading, divinations.
